Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.01220, 0, 1, 0, 0, 0, 0, 0, 0
0.01225, 0, 0, 1, 0, 0, 0, 1, 0
0.01230, 0, 0, 0, 1, 0, 0, 0, 1
0.01235, 0, 0, 1, 1, 0, 0, 1, 1
0.01265, 0, 0, 0, 1, 0, 0, 0, 1
0.01270, 1, 1, 1, 0, 1, 0, 1, 0
0.01275, 1, 0, 0, 0, 1, 0, 0, 0
0.01280, 0, 0, 0, 0, 0, 0, 0, 0
0.01320, 0, 1, 0, 0, 0, 0, 0, 0
0.01325, 1, 1, 1, 0, 1, 0, 1, 0
0.01330, 1, 0, 0, 1, 1, 0, 0, 1
0.01335, 0, 0, 1, 1, 0, 0, 1, 1
0.01365, 0, 1, 0, 1, 0, 0, 0, 1
0.01370, 0, 1, 1, 0, 0, 0, 1, 0
0.01375, 0, 0, 1, 0, 0, 0, 1, 0
0.01380, 0, 0, 0, 0, 0, 0, 0, 0
0.01420, 0, 1, 0, 0, 0, 0, 0, 0
0.01425, 0, 1, 1, 0, 0, 0, 1, 0
0.01430, 0, 1, 0, 1, 0, 0, 0, 1
0.01440, 0, 0, 1, 1, 0, 0, 1, 1
0.01465, 0, 1, 0, 1, 0, 0, 0, 1
0.01470, 0, 1, 1, 0, 0, 0, 1, 0
0.01475, 1, 1, 0, 0, 1, 0, 0, 0
0.01480, 0, 0, 0, 0, 0, 0, 0, 0
0.01520, 0, 0, 1, 0, 1, 0, 0, 0
0.01525, 0, 1, 1, 0, 0, 0, 1, 0
0.01530, 0, 1, 0, 1, 0, 0, 0, 1
0.01540, 0, 0, 1, 1, 0, 0, 1, 1
0.01565, 0, 0, 0, 1, 0, 0, 0, 1
0.01570, 1, 1, 1, 0, 1, 0, 1, 0
0.01575, 1, 0, 0, 0, 1, 0, 0, 0
0.01580, 0, 0, 0, 0, 0, 0, 0, 0
0.01620, 0, 1, 0, 0, 0, 0, 0, 0
0.01625, 0, 1, 1, 0, 0, 0, 1, 0
0.01630, 0, 0, 0, 1, 0, 0, 0, 1
0.01635, 0, 1, 0, 1, 0, 0, 0, 1
0.01640, 0, 0, 1, 1, 0, 0, 1, 1
0.01665, 0, 0, 0, 1, 0, 0, 0, 1
0.01670, 0, 1, 1, 0, 0, 0, 1, 0
0.01675, 1, 1, 0, 0, 1, 0, 0, 0
0.01680, 0, 0, 0, 0, 0, 0, 0, 0
0.01720, 0, 0, 1, 0, 0, 0, 0, 0
0.01725, 1, 1, 1, 0, 1, 0, 1, 0
0.01730, 0, 1, 0, 1, 0, 0, 0, 1
0.01740, 0, 0, 1, 1, 0, 0, 1, 1
0.01765, 0, 1, 0, 1, 0, 0, 0, 1
0.01770, 1, 1, 1, 0, 1, 0, 1, 0
0.01775, 0, 1, 0, 0, 0, 0, 0, 0
0.01780, 1, 0, 0, 0, 1, 0, 0, 0
0.01785, 0, 0, 0, 0, 0, 0, 0, 0
0.01820, 0, 1, 0, 0, 0, 0, 0, 0
0.01825, 0, 1, 1, 0, 0, 0, 1, 0
0.01830, 0, 1, 0, 1, 0, 0, 0, 1
0.01840, 0, 0, 1, 1, 0, 0, 1, 1
0.01865, 0, 1, 0, 1, 0, 0, 0, 1
0.01870, 0, 0, 0, 0, 0, 0, 1, 0
0.01875, 1, 0, 1, 0, 1, 0, 1, 0
0.01880, 0, 0, 0, 0, 0, 0, 0, 0
0.01920, 0, 1, 0, 0, 0, 0, 0, 0
0.01925, 0, 1, 1, 0, 0, 0, 1, 0
0.01930, 1, 0, 0, 1, 1, 0, 0, 1
0.01935, 0, 1, 0, 1, 0, 0, 0, 1
0.01940, 0, 0, 1, 1, 0, 0, 1, 1
0.01965, 1, 0, 1, 1, 1, 0, 1, 1
0.01970, 0, 1, 1, 0, 0, 0, 1, 0
0.01975, 0, 0, 1, 0, 0, 0, 1, 0
0.01980, 0, 0, 0, 0, 0, 0, 0, 0
0.02020, 1, 0, 0, 0, 1, 0, 0, 0
0.02025, 1, 1, 1, 0, 0, 0, 1, 1
0.02030, 0, 1, 0, 1, 0, 0, 1, 0
0.02035, 0, 0, 1, 1, 0, 0, 1, 1
0.02065, 0, 1, 0, 1, 0, 0, 0, 1
0.02070, 0, 1, 1, 0, 0, 0, 1, 0
0.02075, 1, 0, 0, 0, 1, 0, 0, 0
0.02080, 0, 0, 0, 0, 0, 0, 0, 0
0.02120, 0, 1, 0, 0, 0, 0, 0, 0
0.02125, 0, 1, 1, 0, 0, 0, 1, 0
0.02130, 0, 0, 0, 1, 0, 0, 0, 1
0.02135, 0, 1, 0, 1, 0, 0, 0, 1
0.02140, 0, 0, 1, 1, 0, 0, 1, 1
0.02165, 0, 0, 0, 1, 0, 0, 0, 1
0.02170, 0, 1, 1, 0, 0, 0, 1, 0
0.02175, 0, 0, 1, 0, 0, 0, 1, 0
0.02180, 0, 0, 0, 0, 0, 0, 0, 0
0.02220, 0, 1, 0, 0, 0, 0, 0, 0
0.02225, 0, 0, 1, 0, 0, 0, 1, 0
0.02230, 0, 1, 0, 1, 0, 0, 0, 1
0.02240, 0, 0, 1, 1, 0, 0, 1, 1
0.02265, 0, 0, 0, 1, 0, 0, 0, 1
0.02270, 0, 1, 1, 0, 0, 0, 1, 0
0.02275, 1, 1, 0, 0, 1, 0, 0, 0
0.02280, 0, 0, 0, 0, 0, 0, 0, 0
0.02320, 0, 1, 0, 0, 0, 0, 0, 0
0.02325, 1, 0, 1, 0, 0, 0, 0, 1
0.02330, 1, 0, 0, 1, 1, 0, 0, 1
0.02335, 0, 1, 0, 1, 0, 0, 0, 1
0.02340, 0, 0, 1, 1, 0, 0, 1, 1
0.02350, 1, 1, 1, 1, 1, 0, 1, 1
0.02365, 1, 0, 0, 1, 1, 0, 0, 1
0.02370, 0, 1, 1, 0, 0, 0, 1, 0
0.02375, 0, 0, 1, 0, 0, 0, 1, 0
0.02380, 0, 0, 0, 0, 0, 0, 0, 0
0.02420, 0, 0, 1, 0, 0, 0, 1, 0
0.02425, 0, 1, 1, 0, 0, 0, 1, 0
0.02430, 1, 0, 0, 1, 1, 0, 0, 1
0.02435, 0, 0, 1, 1, 0, 0, 1, 1
0.02465, 1, 0, 0, 1, 1, 0, 0, 1
0.02470, 0, 1, 1, 0, 0, 0, 1, 0
0.02475, 1, 1, 0, 0, 1, 0, 0, 0
0.02480, 0, 0, 0, 0, 0, 0, 0, 0
0.02520, 0, 1, 0, 0, 0, 0, 0, 0
0.02525, 0, 1, 1, 0, 0, 0, 1, 0
0.02530, 0, 0, 0, 1, 0, 0, 0, 1
0.02535, 0, 1, 0, 1, 0, 0, 0, 1
0.02540, 0, 0, 1, 1, 0, 0, 1, 1
0.02565, 1, 0, 0, 1, 1, 0, 0, 1
0.02570, 0, 0, 0, 0, 1, 0, 0, 0
0.02575, 1, 1, 0, 0, 1, 0, 0, 0
0.02580, 1, 0, 0, 0, 1, 0, 0, 0
0.02585, 0, 0, 0, 0, 0, 0, 0, 0
0.02620, 0, 1, 0, 0, 1, 0, 0, 0
0.02625, 0, 1, 1, 0, 0, 0, 1, 0
0.02630, 0, 1, 0, 1, 0, 0, 0, 1
0.02640, 0, 0, 1, 1, 0, 0, 1, 1
0.02665, 0, 1, 0, 1, 0, 0, 0, 1
0.02670, 0, 1, 1, 0, 0, 0, 1, 0
0.02675, 0, 0, 1, 0, 0, 0, 1, 0
0.02680, 0, 0, 0, 0, 0, 0, 0, 0
0.02720, 0, 1, 0, 0, 0, 0, 0, 0
0.02725, 0, 1, 1, 0, 0, 0, 1, 0
0.02730, 0, 0, 0, 1, 0, 0, 0, 1
0.02735, 0, 1, 0, 1, 0, 0, 0, 1
0.02740, 0, 0, 1, 1, 0, 0, 1, 1
0.02765, 0, 0, 0, 1, 0, 0, 0, 0
0.02770, 1, 1, 1, 0, 1, 0, 1, 0
0.02775, 1, 1, 0, 0, 1, 0, 0, 0
0.02780, 0, 0, 0, 0, 0, 0, 0, 0
0.02820, 0, 1, 0, 0, 1, 0, 0, 0
0.02825, 0, 1, 1, 0, 0, 0, 1, 0
0.02830, 1, 1, 1, 0, 1, 0, 1, 0
0.02835, 0, 0, 1, 1, 0, 0, 1, 1
0.02865, 0, 1, 0, 1, 0, 0, 0, 1
0.02870, 0, 1, 1, 0, 0, 0, 1, 0
0.02875, 0, 0, 1, 0, 1, 0, 0, 0
0.02880, 0, 0, 0, 0, 0, 0, 0, 0
0.02920, 0, 1, 0, 0, 0, 0, 0, 0
0.02925, 0, 0, 1, 0, 0, 0, 1, 0
0.02930, 1, 0, 0, 1, 1, 0, 0, 1
0.02935, 0, 1, 0, 1, 0, 0, 0, 1
0.02940, 0, 0, 1, 1, 0, 0, 1, 1
0.02965, 0, 1, 0, 1, 0, 0, 0, 1
0.02970, 0, 1, 1, 0, 0, 0, 1, 0
0.02975, 1, 0, 0, 0, 0, 0, 1, 0
0.02980, 0, 0, 0, 0, 0, 0, 0, 0
0.03020, 0, 1, 0, 0, 0, 0, 0, 0
0.03025, 0, 0, 1, 0, 0, 0, 1, 0
0.03030, 1, 0, 0, 1, 1, 0, 0, 1
0.03035, 0, 1, 0, 1, 0, 0, 0, 1
0.03040, 1, 0, 1, 1, 1, 0, 1, 1
0.03065, 1, 1, 1, 0, 1, 0, 1, 0
0.03075, 1, 1, 0, 0, 1, 0, 0, 0
0.03080, 0, 0, 0, 0, 0, 0, 0, 0
0.03120, 1, 0, 0, 0, 1, 0, 0, 0
0.03125, 1, 0, 1, 0, 1, 0, 1, 0
0.03130, 0, 0, 0, 1, 0, 0, 0, 1
0.03135, 0, 1, 0, 1, 0, 0, 0, 1
0.03140, 0, 0, 1, 1, 0, 0, 1, 1
0.03165, 0, 1, 0, 1, 0, 0, 0, 1
0.03170, 0, 1, 1, 0, 0, 0, 1, 0
0.03175, 0, 1, 0, 0, 0, 0, 0, 0
0.03180, 0, 0, 0, 0, 0, 0, 0, 0
0.03220, 0, 1, 0, 0, 0, 0, 0, 0
0.03225, 0, 0, 1, 0, 0, 0, 1, 0
0.03230, 0, 0, 0, 0, 1, 0, 0, 0
0.03235, 0, 1, 0, 1, 0, 0, 0, 1
0.03240, 0, 0, 1, 1, 0, 0, 1, 1
0.03265, 0, 1, 0, 1, 0, 0, 0, 1
0.03270, 0, 1, 1, 0, 0, 0, 1, 0
0.03275, 0, 0, 1, 0, 0, 0, 1, 0
0.03280, 0, 0, 0, 0, 0, 0, 0, 0
0.03320, 0, 1, 0, 0, 0, 0, 0, 0
0.03325, 0, 0, 1, 0, 0, 0, 1, 0
0.03330, 0, 1, 1, 0, 0, 0, 1, 0
0.03335, 0, 0, 1, 1, 0, 0, 1, 1
0.03365, 0, 1, 0, 1, 0, 0, 0, 1
0.03370, 1, 1, 1, 0, 1, 0, 1, 0
0.03375, 1, 1, 0, 0, 1, 0, 0, 0
0.03380, 0, 0, 0, 0, 0, 0, 0, 0
0.03420, 0, 1, 0, 0, 0, 0, 0, 0
0.03425, 0, 0, 1, 0, 0, 0, 1, 0
0.03430, 0, 0, 0, 0, 1, 0, 1, 0
